Hospital_Name (clean),Hospital Name rev 2,Country
"RS ASIA HEALTH PARTNERS PTE LTD, SINGAPORE, SINGAP",ASIA HEALTHPARTNERS PTE LTD SINGAPORE,Singapore
"RS SANAFARMA APOTEK, INDONESIA, INDONESIA, INDONES",APOTEK SANAFARMA,Indonesia
"RS DR WEWEN SISWANTO, SP.PD, INDONESIA, INDONESIA,",DR WEWEN SISWANTO SPPD,Indonesia
"RS APOTEK KHARISMA DEWI AGUNG, JAMBI, INDONESIA",APOTEK KHARISMA DEWI AGUNG,Indonesia
"KLINIK UTAMA VIDYAN MEDIKA, INDONESIA, INDONESIA,",KLINIK UTAMA VIDYAN MEDIKA,Indonesia
"KLINIK KMN JAKARTA SELATAN, INDONESIA, INDONESIA,",KLINIK MATA NUSANTARA JAKARTA SELATAN,Indonesia
"RS ANHO BIOPRIMA, INDONESIA, INDONESIA, INDONESIA,",ANHO BIOPRIMA,Indonesia
"RS APOTEK SUMBER SEHAT, INDONESIA, INDONESIA, INDO",APOTEK SUMBER SEHAT,Indonesia
"RS STANLEY EAR NOSE THROAT SINUS CENTRE, SINGAPOR",STANLEY EAR NOSE THROAT SINUS CENTRE PTE LTD SINGAPORE,Singapore
"RS APOTEK KIMIA FARMA, SEMARANG, INDONESIA, SEMARA",KIMIA FARMA SEMARANG,Indonesia
"KLINIK APOLO, JAKARTA, INDONESIA, JAKARTA, INDONES",KLINIK APOLO,Indonesia
"RS ROYAL TRAUMA, JAKARTA, INDONESIA, JAKARTA, INDO",RS ROYAL TARUMA,Indonesia
RS RS. KANKER DHARMAIS,RS KANKER DHARMAIS,Indonesia
"RS dr. FRANDY SUSATIA, Sp. A",DR FRANDY SUSATIA SPA,Indonesia
RS KMN PIK,KLINIK MATA NUSANTARA PANTAI INDAH KAPUK,Indonesia
RS SK YAP SPECIALIST EYE CLINIC SURGERY Pte. Ltd,SK YAP SPECIALIST EYE CLINIC & SURGERY PTE LTD,Singapore
RS KMN KEBON JERUK,KLINIK MATA NUSANTARA KEBON JERUK,Indonesia
RS MMC JAKARTA,RS METROPOLITAN MEDICAL CENTRE (MMC),Indonesia
RS DR MARTIN F SURYO SPS,DR MARTIN F SURYO SPS,Indonesia
RS APOTIK HOSANA,APOTEK HOSANA,Indonesia
RS RSUP PERSAHABATAN,RSUP PERSAHABATAN,Indonesia
RS dr. TOTOK SOEBROTO,DR TOTOK SOEBROTO,Indonesia
RS dr. ROSALIA DESI SUSANTO,DR ROSALIA DESI SUSANTO,Indonesia
RS APOTEK KIMIA FARMA,KIMIA FARMA,Indonesia
"RS W. LUMAN DIGESTIVE LIVER CLINIC, INDONESIA, IND",W LUMAN DIGESTIVE AND LIVER CLINIC SINGAPORE,Singapore
"RS SRM MERIDIANA, INDONESIA, INDONESIA, INDONESIA,",RS SRM MERIDIANA,Indonesia
"RS APTUS SURGERY CENTRE PTE LTD, SINGAPORE, SINGAP",APTUS SURGERY CENTRE,Singapore
"RS SW1 CLINIC, SINGAPORE, SINGAPORE, SINGAPORE, SI",SW 1 CLINIC SINGAPORE,Singapore
"RS KLINIJK TADAR MEDIKA, INDONESIA, INDONESIA, IND",KLINIK TADAR MEDIKA,Indonesia
"RS PT RESINDO MEDIKA, INDONESIA, INDONESIA, INDONE",PT RESINDO MEDIKA,Indonesia
"RS RS. UMUM DAERAH BANGIL, INDONESIA, INDONESIA, I",RSUD BANGIL,Indonesia
"RS DR. ENRICO MERENTEK, INDONESIA, INDONESIA, INDO",DR ENRICO MERENTEK,Indonesia
"RS RS. CATHERINE BOOTH, INDONESIA, INDONESIA, INDO",RSIA CARTHERINE BOOTH,Indonesia
"RS RS. ISLAM PKU MUHAMMADIYAH PEKAJANGAN, INDONESI",RSI PKU MUHAMMADIYAH PEKAJANGAN,Indonesia
"RS OG CENTRE -K F THAM PTE LTD, SINGAPORE, SINGAP",O G CENTRE K F THAM PTE LTD SINGAPORE,Singapore
"RS APOTEK BAGIANA, INDONESIA, INDONESIA, INDONESIA",APOTEK BAGIANA,Indonesia
"RS DR DWI LINGGA UTAMA, INDONESIA, INDONESIA, INDO",DR DWI LINGGA UTAMA,Indonesia
RS HN TAY ENT HEADNECK THYROID SLEEP ROBOTIC SURGE,HN TAY ENT HEAD NECK SINGAPORE,Singapore
"RS ARTHRO ASSOCIATES, MALYSIA, MALAYSIA, MALYSIA,",ARTHRO ASSOCIATES,Malaysia
"RS DR DEDDY, INDONESIA, INDONESIA, INDONESIA, INDO",DR DEDDY,Indonesia
"RS CINTA KASIH TZU CHI, INDONESIA, INDONESIA, INDO",RS CINTA KASIH TZU CHI,Indonesia
"RS DR ERIC RAHARDI, INDONESIA, INDONESIA, INDONESI",DR ERIC RAHARDI,Indonesia
"RS MOUNT ALVERINA HOSPITAL, SINGAPORE, SINGAPORE,",MOUNT ALVERNIA HOSPITAL SINGAPORE,Singapore
RS PERSADA MEDIKA CIKAMPEK (d/h TITIAN BUNDA CIKAM,RS PERSADA MEDIKA CIKAMPEK,Indonesia
"RS DR. ISWANTO PRATANU, INDONESIA, INDONESIA, INDO",DR ISWANTO PRATANU,Indonesia
"RS M.C TONG CARDIOTHORACIC SURGERY CENTRE, SINGAPO",MC TONG CARDIOTHORACIC SURGERY CENTRE,Indonesia
"RS 10 RA DERMATOLOGY CLINIC, INDONESIA, INDONESIA,",RS 10 RA DERMATOLOGY CLINIC,Indonesia
"RS BIO MEDIKA LABORATORIUM KLINIK, JAKARTA, INDONE",BIOMEDIKA LABORATORIUM KLINIK,Indonesia
"RS MEDI-RAD ASOCIATES LTD, SINGAPORE, SINGAPORE, S",MEDIRAD ASSOCIATES LTD SINGAPORE,Singapore
"RS HARAPAN KITA, INDONESIA, INDONESIA, INDONESIA,",RS JANTUNG DAN PEMBULUH DARAH HARAPAN KITA,Indonesia
"RS APOTEK BERKAT, INDONESIA, INDONESIA, INDONESIA,",APOTEK BERKAT,Indonesia
"RS CHANG GUNG M EMORIAL HOSPITAL, LINKAU, TAIWAN,",CHANG GUNG MEMORIAL HOSPITAL TAIWAN,TAIWAN
"KLINIK MATA UTAMA SJAMSU, INDONESIA, INDONESIA, IN",KLINIK MATA UTAMA DR SJAMSU,Indonesia
"KLINIK FISIOTERAPI ESA UNGGUL, INDONESIA, INDONESI",KLINIK FISIOTERAPI ESA UNGGUL,Indonesia
"RS NOVENA ENT-HEADNECK SURGERY SPECIALIST CENTRE,",NOVENA ENT HEAD NECK SURGERY SPECIALIST CENTRE,Singapore
"RS ZEN MEDICAL PTE LTD, SINGAPORE, SINGAPORE, SING",ZEN MEDICAL PTE LTD SINGAPORE,Singapore
"RS DR THOMAS EKO, INDONESIA, INDONESIA, INDONESIA,",DR THOMAS EKO,Indonesia
"RS CHANG GUNG M EMORIAL HOSPITAL, TAIWAN, TAIWAN,",CHANG GUNG MEMORIAL HOSPITAL TAIWAN,TAIWAN
"RS CENGILD G. I MEDICAL CENTRE, MALAYSIA, MALAYSIA",CENGILD GI MEDICAL CENTRE MALAYSIA,Malaysia
"RS ICON SOC ORCHARD MEDICAL CLINIC, SINGAPORE, IND",ICON SOC ORCHARD MEDICAL CLINIC SINGAPORE,Singapore
"RS PAEDS ORTHO HEALTHCARE S/B, SINGAPORE, SINGAPO",PAEDS ORTHO HEALTHCARE SINGAPORE,Singapore
"RS DR SUDJARNO, INDONESIA, INDONESIA, INDONESIA, I",DR SUDJARNO,Indonesia
"KLINIK APOLLO, INDONESIA, INDONESIA, INDONESIA, IN",KLINIK APOLLO,Indonesia
"RS APOTEK8, INDONESIA, INDONESIA, INDONESIA, INDON",APOTEK 8,Indonesia
"RS DR LIEM, INDONESIA, INDONESIA, INDONESIA, INDON",DR LIEM,Indonesia
"KLINIK SPESIALIS SEHATI, INDONESIA, INDONESIA, IND",KLINIK SPESIALIS SEHATI,Indonesia
"RS AL-IRSYAD SURABAYA, SURABAYA, INDONESIA",RS AL IRSYAD SURABAYA,Indonesia
"RS PRODIA CIDENG, INDONESIA, INDONESIA, INDONESIA,",PRODIA CIDENG,Indonesia
"RS SRM MERIDIAN, JAKARTA, INDONESIA, JAKARTA, INDO",RS SRM MERIDIAN,Indonesia
"RS PHAMACIE LAFAYETTE VARICHON, FRANCE, FRANCE, FR",PHAMACIE LAFAYETTE VARICHON FRANCE,Indonesia
"RS DR ROBBY, INDONESIA, INDONESIA, INDONESIA, INDO",DR ROBBY,Indonesia
"RS KMN JAKARATA SELATAN, INDONESIA, INDONESIA, IND",KLINIK MATA NUSANTARA JAKARTA SELATAN,Indonesia
"RS DR SOEGIHARTO A., INDONESIA, INDONESIA, INDONES",DR SOEGIHARTO A,Indonesia
"RS APOTIK TIARA SATELIT, INDONESIA, INDONESIA, IND",APOTEK TIARA SATELIT,Indonesia
"RS THE TOW YUNG CLINIC, SINGAPORE, SINGAPORE, SING",TOW YUNG CLINIC SINGAPORE,Singapore
"RS GASTROENTEROLOGY CENTRE, SINGAPORE, SINGAPORE,",GASTROENTEROLOGY CENTRE SINGAPORE,Singapore
"RS Sungai Long Medical Center Sdn. Bhd.-Malaysia,",Sungai Long Medical Center Sdn Bhd Malaysia,Malaysia
"RS RS. DR SARDJITO YOGYAKARTA, INDONESIA, INDONESI",RS DR SARDJITO YOGYAKARTA,Indonesia
"RS RSUD. SYARIFAH AMBAMI RATO EBU, INDONESIA, INDO",RSUD SYARIFAH AMBAMI RATO EBU,Indonesia
"RS RS. CIPTO MANGUNKUSUMO KENCANA, INDONESIA, INDO",RSUP DR CIPTO MANGUNKUSUMO KENCANA,Indonesia
"RS JEC CINERE DEPOK, INDONESIA, INDONESIA, INDONES",JAKARTA EYE CENTER (JEC) CINERE,Indonesia
"RS APOTEK HANSEN SURABAYA, INDONESIA, INDONESIA, I",APOTEK HANSEN SURABAYA,Indonesia
"RS RS. DHARMA NUGRAHA, JAKARTA, INDONESIA, JAKARTA",RS DHARMA NUGRAHA JAKARTA,Indonesia
"RS MATA LAMPUNG EYE CENTER, INDONESIA, INDONESIA,",RS MATA LAMPUNG EYE CENTER,Indonesia
"RS Adventist Medical Centre, PENANG, Malaysia",PENANG ADVENTIST HOSPITAL,Malaysia
"RS MEDICASTORE.COM, INDONESIA, INDONESIA, INDONESI",APOTEK MEDICASTORE,Indonesia
"RSIA PANTI ABDI DHARMA, INDONESIA, INDONESIA, INDO",RSIA PANTI ABDI DHARMA,Indonesia
"RS HUSUS BEDAH HALIMUN, JAKARTA, INDONESIA",RS KHUSUS BEDAH HALIMUN,Indonesia
"RS PARAHITA DIANOSTIC CENTER, JAKARTA, INDONESIA,",RS PARAHITA DIAGNOSTIC CENTER,Indonesia
RS DR. LEO AESTHETIC PLASTIC RECONSTRUCTIVE SURGE,RS DR LEO AESTHETIC PLASTIC RECONTRUCTIVE SURGER,Singapore
"RS THE HEARTH SPECIALIST CLINIC, SINGAPORE, SINGAP",HEART SPECIALIST CLINIC SINGAPORE,Singapore
"RS PRODIA KARANG TENGAH JAKARTA, INDONESIA, INDONE",PRODIA KARANG TENGAH,Indonesia
"RS APOTEK ALVIN FARMA, JAKARTA, INDONESIA, JAKARTA",APOTEK ALVIN FARMA,Indonesia
"RS SKIN PHYSICIANS, SINGAPORE, SINGAPORE, SINGAPOR",SKIN PHYSICIANS SINGAPORE,Singapore
"RS APOTIK KHANTI, INDONESIA, INDONESIA, INDONESIA,",APOTEK KHANTI,Indonesia
"RS PUSAT PERTAMINA JAKARTA, JAKARTA SELATAN, Indon",RS PUSAT PERTAMINA JAKARTA SELATAN,Indonesia
"RSU ADHYAKSA, INDONESIA, INDONESIA, INDONESIA, IND",RS ADHYAKSA,Indonesia
"RS RSGM UNIVERSITAS PADJAJARAN, INDONESIA, INDONES",RSGM UNIVERSITAS PADJAJARAN,Indonesia
"RS PRODIA LABORATORIUM KUPAMG, KUPANG, INDONESIA,",PRODIA,Indonesia
"RS PRODIA LAB KLINIK, LAMPUNG, INDONESIA, LAMPUNG,",PRODIA,Indonesia
"RS DR I NYOMAN SEMITA, JEMBER, INDONESIA",DR I NYOMAN SEMITA,Indonesia
"RS RSCM. KENCANA, JAKARTA, INDONESIA, JAKARTA, IND",RSUP DR CIPTO MANGUNKUSUMO KENCANA,Indonesia
"RS RS. MARIA REGINA, LAMPUNG, INDONESIA, LAMPUNG,",RS MARIA REGINA,Indonesia
"RS S O CHEWS CLINIC, SINGAPORE, SINGAPORE, SINGAPO",SC CHEWS CLINIC SINGAPORE,Singapore
"RS THE PAIN SPECIASLT, SINGAPORE, SINGAPORE, SINGA",PAIN SPECIALIST SINGAPORE,Singapore
"RS GASTRO LIVER SURGICAL CENTRE, SINGAPORE, INDONE",GASTRO LIVER SURGICAL CENTRE SINGAPORE,Singapore
"RS DR. TOTOK SOEBROTO, MALANG, INDONESIA, MALANG,",DR TOTOK SOEBROTO,Indonesia
"RS DR. TINAWATI GUNAWAN, INDONESIA, INDONESIA, IND",DR TINAWATI GUNAWAN,Indonesia
"RS BIOMEDIKA LABORATORIUM, INDONESIA, INDONESIA, I",BIOMEDIKA LABORATORIUM KLINIK,Indonesia
"RS APOTIK PERDANA, INDONESIA, INDONESIA, INDONESIA",APOTEK PERDANA,Indonesia
"RS DR. HALIMIN SUHARDI, INDONESIA, INDONESIA, INDO",DR HALIMIN SUHARDI,Indonesia
"RS DR. PRIYANTI KISWORINI, M. KES. SP. A, BANJARMA",DR PRIYANTI KISWORINI MKES SPA,Indonesia
"RS DR PRIYANTI KISWORINI MKES SPA, INDONESIA, INDO",DR PRIYANTI KISWORINI MKES SPA,Indonesia
"RS APOTIK SENTOSA MEDICA, INDONESIA, INDONESIA, IN",APOTEK SENTOSA MEDICA,Indonesia
"RS IMPIAN KENANGAN SDN. BHD., MALAYSIA, MALAYSIA,",IMPIAN KENANGAN SDN BHD MALAYSIA,Malaysia
"RS PRODIA LABORATORIUM GARUT, GARUT, Indonesia",PRODIA,Indonesia
"RS PAVILIUN KENCANA RSCM JAKARTA PUSATUP, JAKARTA",RSUP DR CIPTO MANGUNKUSUMO KENCANA,Indonesia
"RS *PAVILIUN KENCANA RSCM JAKARTA PUSAT, JAKARTA P",RSUP DR CIPTO MANGUNKUSUMO KENCANA,Indonesia
"RS HALIM FERTILITY CENTRE, MEDAN, INDONESIA, MEDAN",RS HALIM FERTILITY CENTRE MEDAN,Indonesia
"RS CHILD AND CARDIOLOGY PRACTICE, SINGAPORE, SINGA",CHILD AND CARDIOLOGY PRACTICE SINGAPORE,Singapore
"RS DR PRIYANTI KISWORINI MKES SPA, BANJARMASIN, IN",DR PRIYANTI KISWORINI MKES SPA,Indonesia
"RS KANKER DHARMAIS, INDONESIA, INDONESIA, INDONESI",RS KANKER DHARMAIS,Indonesia
"RS ASIAN AMERICA LIVER CENTER, SINGAPORE, SINGAPOR",ASIAN AMERICAN LIVER CENTRE SINGAPORE,Singapore
"RS INFECTIOUS DISEASE SPECIALIST, SINGAPORE, SINGA",INFECTIOUS DISEASES CARE PTE LTD SINGAPORE,Singapore
"KLINIK SPESIALIS SEHATI, JAKARTA, INDONESIA, JAKAR",KLINIK SPESIALIS SEHATI,Indonesia
"RS GLENN W JELKS, MD AND ELIZABETH B JELKS, MD, NE",GLENN W JELKS MD AND ELIZABETH B JELKS MD,USA
"RS BHAKTI VEDANTA MEDICAL, INDONESIA, INDONESIA, I",RS BHAKTI VEDANTA MEDICAL,Indonesia
"RS LOH KEH CHUAN DIABETES, THYROID HORMONE CLINIC",LOH KEH CHUAN DIABETES THYROID HORMONE CLINIC,Singapore
"RS NOVENA HEARTH CENTRE, SINGAPORE, SINGAPORE, SIN",NOVENA HEART CENTRE SINGAPORE,Singapore
"RS PHYSIO NOVENA, SINGAPORE, SINGAPORE, SINGAPORE,",PHYSIO NOVENA SINGAPORE,Singapore
"RS APOTIK NUSAKAMBANGAN, INDONESIA, INDONESIA, IND",APOTEK NUSAKAMBANGAN,Indonesia
"KLINIK MATA DR SJAMSU, INDONESIA, INDONESIA, INDON",KLINIK MATA UTAMA DR SJAMSU,Indonesia
"RS DR I NYOMAN SEMITA, INDONESIA, INDONESIA, INDON",DR I NYOMAN SEMITA,Indonesia
"RS SANTOSA HOSPITAL BANDUNG CENTRAL, BANDUNG, INDO",SANTOSA HOSPITAL BANDUNG,Indonesia
"RS DR PANGESTU, INDONESIA, INDONESIA, INDONESIA, I",DR PANGESTU,Indonesia
"RSU A WAHAB SJAHRANIE, SAMARINDA, INDONESIA, SAMAR",RSU A WAHAB SJAHRANIE,Indonesia
"RS AL-IRSYAD, INDONESI, INDONESIA, INDONESI, INDON",RS AL IRSYAD,Indonesia
"RS EAGLE EYE CENTRE, SINGAPORE, SINGAPORE, SINGAPO",EAGLE EYE CENTRE PTE LTD SINGAPORE,Singapore
"RS MMC, JAKARTA, INDONESIA, JAKARTA, INDONESIA",RS METROPOLITAN MEDICAL CENTRE (MMC),Indonesia
"RS HL KONG MEDICAL ONCOLOGY CENTRE, SINGAPORE, SIN",HL KONG MEDICAL ONCOLOGY CENTRE SINGAPORE,Singapore
"RS DR POEDJO HARTONO, INDONESIA, INDONESIA, INDONE",DR POEDJO HARTONO,Indonesia
"RS QUEEN MARY HOSPITAL, HONGKONG, HONG KONG, HONGK",QUEEN MARY HOSPITAL HONGKONG,Hongkong
"RS DARMAYUU, PONOROGO, Indonesia",RS DARMAYU PONOROGO,Indonesia
"RS HAND SURGERY ASSOCIATES, SINGAPORE, SINGAPORE,",HAND SURGERY ASSOCIATES SINGAPORE,Singapore
"RS RSUD PANDANARANG, INDONESI, INDONESIA, INDONESI",RSUD PANDANARANG,Indonesia
"RS RS. CIPTO MANGUNKUSUMO KENCANA, JAKARTA, INDONE",RSUP DR CIPTO MANGUNKUSUMO KENCANA,Indonesia
"RS RS. DR SARDJITO YOGYAKARTA, YOGYAKARTA, INDONES",RS DR SARDJITO YOGYAKARTA,Indonesia
"RS KOO CARDIAC CLINIC, SINGAPORE, SINGAPORE, SINGA",KOO CARDIAC CLINIC SINGAPORE,Singapore
"RS DR TA HADI KUSUMA, INDONESIA, INDONESIA, INDONE",DR TA HADI KUSUMA,Indonesia
"RS APOTIK PRAYOGI, INDONESIA, INDONESIA, INDONESIA",APOTEK PRAYOGI,Indonesia
"RS CIPTO MANGUNKUSUMO KENCANA, JAKARTA, INDONESIA,",RSUP DR CIPTO MANGUNKUSUMO KENCANA,Indonesia
"RS BHAYANGKARA KEDIRI, KEDIRI, INDONESIA, KEDIRI,",RS BHAYANGKARA KEDIRI,Indonesia
"RS MEDICARE CENTRE, JAKARTA UTARA, INDONESIA, JAKA",RS MEDICARE CENTRE JAKARTA,Indonesia
"RS RSUD PANDANARANG, BOYOLALI, INDONESIA, BOYOLALI",RSUD PANDANARANG,Indonesia
"RS RSUD SAIFUL ANWAR MALANG, INDONESIA, INDONESIA,",RSUD DR SAIFUL ANWAR MALANG,Indonesia
"RS APOTEK CAHAYA DEWI, JAKARTA, INDONESIA, JAKARTA",APOTEK CAHAYA DEWI,Indonesia
"RS NATIONAL SKIN CENTER, SINGAPORE, Singapore",NATIONAL SKIN CENTRE SINGAPORE,Singapore
"RS TANG NEUROLOGY AND MEDICAL CLINI, SINGAPORE, SI",TANG NEUROLOGY AND MEDICAL CLINIC SINGAPORE,Singapore
"RS APOTEK SARIKA MAJAPAHIT, SEMARANG, INDONESIA, S",APOTEK SARIKA MAJAPAHIT,Indonesia
"RS BHAKTI VEDANTA MEDICAL, BALI, INDONESIA, BALI,",RS BHAKTI VEDANTA MEDICAL,Indonesia
"RS ANHO BIOPRIMA, JAKARTA, INDONESIA, JAKARTA, IND",ANHO BIOPRIMA,Indonesia
"RS MITRASANA GRAND WISATA, BEKASI, Indonesia",RS MITRASANA GRAND WISATA,Indonesia
"RS DR. TINAWATI GUNAWAN, JAKARTA, INDONESIA, JAKAR",DR TINAWATI GUNAWAN,Indonesia
"RS BIOMEDIKA LABORATORIUM, JAKARTA, INDONESIA, JAK",BIOMEDIKA LABORATORIUM KLINIK,Indonesia
"RS ELLYA, INDONESIA, INDONESIA, INDONESIA, INDONES",RS ELLYA HOME,Indonesia
"RS PRINCE COURT, MALAYSIA, MALAYSIA, MALAYSIA, MAL",PRINCE COURT MEDICAL CENTRE SDN BHD MALAYSIA,Malaysia
"RS QUEEN MARY HOSPITAL, HONG KONG, HONG KONG, HONG",QUEEN MARY HOSPITAL HONGKONG,Hongkong
"RS APOTIK SENTOSA MEDICA, BEKASI, INDONESIA, BEKAS",APOTEK SENTOSA MEDICA,Indonesia
"RS GILEAD EAR NOSE THROAT CENTRE PTE LTD, SINGAPO",GILEAD EAR NOSE THROAT CENTRE PTE LTD SINGAPORE,Singapore
RS PARKWAY CANCER CENTRE,PARKWAY CANCER CENTRE SINGAPORE,Singapore
"RS APOTEK KIMIA FARMA KARANG MENJANGAN, INDONESIA,",KIMIA FARMA,Indonesia
"RS MARILYN LEE, SINGAPORE, Singapore",MARILYN LEE ENDOCRINE MEDICAL CLINIC SINGAPORE,Singapore
"RSU KARSA HUSADA, MALANG, Indonesia",RSU KARSA HUSADA,Indonesia
"RS RSUD Saiful Anwar Malang, INDONESIA, Indonesia",RSUD DR SAIFUL ANWAR MALANG,Indonesia
"RS KALGEN INNOLAB, MEDAN, INDONESIA",KALGEN INNOLAB LABORATORIUM KLINIK,Indonesia
"RS Infectious Disease Partners Pte Ltd,SINGAPORE,S",INFECTIOUS DISEASES CARE PTE LTD SINGAPORE,Singapore
"RS PREMIER SURABAYA , SURABAYA, Indonesia",RS PREMIER SURABAYA,Indonesia
"RS RK CHARITAS PALEMBANG , PALEMBANG, Indonesia",RS RK CHARITAS PALEMBANG,Indonesia
"RS PURI INDAH JAKARTA BARAT , JAKARTA BARAT, Indon",RS PURI INDAH,Indonesia
"RS HERMINA JATINEGARA JAKARTA TIMUR , JAKARTA TIMU",RS HERMINA JATINEGARA,Indonesia
"RS PANTAI INDAH KAPUK JAKARTATARA , JAKARTATARA, I",RS PANTAI INDAH KAPUK,Indonesia
"RS RSUPN DR CIPTO MANGUNKUSUMO, JAKARTA PUSAT, IND",RSUP DR CIPTO MANGUNKUSUMO,Indonesia
"RS PREMIER JATINEGARA , JAKARTA TIMUR, Indonesia",RS PREMIER JATINEGARA,Indonesia
"RS MITRA KELUARGA KEMAYORAN , JAKARTA PUSAT, Indon",MITRA KELUARGA KEMAYORAN,Indonesia
"RS TELOGOREJO SEMARANG , SEMARANG, Indonesia",RS TELOGOREJO,Indonesia
"RS SANTO BORROMEUS BANDUNG , BANDUNG, Indonesia",RS ST BORROMEUS,Indonesia
"RS MASMITRA JATIMAKMUR PONDOK GEDE BEKASI , BEKASI",RS MASMITRA JATIMAKMUR,Indonesia
"laboratorium klinik prodia kelapa gading,JAKARTA,I",PRODIA,Indonesia
"RS PANTI WALUYA SAWAHAN , MALANG, Indonesia",RS PANTI WALUYA SAWAHAN,Indonesia
"RS PERMATA CIBUBUR , BEKASI, Indonesia",RS PERMATA CIBUBUR,Indonesia
"RS SILOAM ASRI , JAKARTA SELATAN, Indonesia",RS ASRI SILOAM HOSPITAL,Indonesia
"RS MITRA KELUARGA KELAPA GADING , JAKARTATARA, Ind",MITRA KELUARGA KELAPA GADING,Indonesia
"RS LIMIJATI BANDUNG IA, BANDUNG, Indonesia",RS LIMIJATI,Indonesia
"RS HERMINA GALAXY BEKASI , BEKASI, Indonesia",RS HERMINA GALAXY,Indonesia
"RS HUSADA , JAKARTA PUSAT, Indonesia",RS HUSADA,Indonesia
"RS PREMIER BINTARO , TANGERANG SELATAN, Indonesia",RS PREMIER BINTARO,Indonesia
"RS KASIH IBU SURAKARTA , SURAKARTA, Indonesia",RS KASIH IBU SURAKARTA,Indonesia
"RS Gleneagles Singapore-Singapore, Singapore, Sing",GLENEAGLES HOSPITAL,Singapore
"RS PUSAT PERTAMINA JAKARTA SELATAN , JAKARTA SELAT",RS PUSAT PERTAMINA JAKARTA SELATAN,Indonesia
"RS MMC JAKARTA SELATAN , JAKARTA SELATAN, Indonesi",RS METROPOLITAN MEDICAL CENTRE (MMC),Indonesia
"RS KANTOR PUSAT PERTAMINA JAKARTA PUSAT, JAKARTA P",RS PUSAT PERTAMINA,Indonesia
"RS HF Lui Digestive Liver Clinis,SINGAPORE,SINGAPO",HF LUI DIGESTIVE CLINICS SINGAPORE,Singapore
"RSUD Prof. Dr. Margono Soekarjo Purwokerto,PURWOKE",RSUD PROF DR MARGONO SOEKARJO PURWOKERTO,Indonesia
"RS Mount Elizabeth Novena-Singapore,SINGAPORE,SING",MOUNT ELIZABETH NOVENA HOSPITAL SINGAPORE,Singapore
"RS COLUMBIA ASIA MEDAN , MEDAN, Indonesia",COLUMBIA ASIA MEDAN,Indonesia
"RS GADING PLUIT JAKARTATARA , JAKARTATARA, Indones",RS GADING PLUIT,Indonesia
RS BALI INTERNATIONAL MEDICAL CENTRE (BIMC) NUSA D,BALI INTERNATIONAL MEDICAL CENTRE (BIMC),Indonesia
"RS PONDOK INDAH JAKARTA SELATAN , JAKARTA SELATAN,",RS PONDOK INDAH JAKARTA SELATAN,Indonesia
"RS LUI CENTRE for ARTHRITIS RHEUMATOLOGY,SINGAPORE",LUI CENTRE SINGAPORE,Singapore
"RS MITRA KELUARGA SURABAYA , SURABAYA, Indonesia",MITRA KELUARGA SURABAYA,Indonesia
"RS ANWAR MEDIKA SIDOARJO, SIDOARJO, Indonesia",RS ANWAR MEDIKA SIDOARJO,Indonesia
"RS PERMATA MEDIKA SEMARANG , SEMARANG, Indonesia",RS PERMATA MEDIKA SEMARANG,Indonesia
"RS JEC KEDOYA , JAKARTA BARAT, Indonesia",JAKARTA EYE CENTER (JEC) KEDOYA,Indonesia
"RS PONDOK INDAH BINTARO JAYA , TANGERANG SELATAN,",RS PONDOK INDAH BINTARO,Indonesia
"RS ROYAL TARUMA JAKARTA BARAT , JAKARTA BARAT, Ind",RS ROYAL TARUMA,Indonesia
"RS MITRA KELUARGA BEKASI BARAT , BEKASI, Indonesia",MITRA KELUARGA BEKASI BARAT,Indonesia
"RS Viva Care Pharmacy (Munshi),Melaka, Malaysia",Viva Care Pharmacy Munshi Melaka Malaysia,Malaysia
"RS Mount Elizabeth Orchard-Singapore, Singapore, S",MOUNT ELIZABETH ORCHARD,Singapore
"RS RS. CIPTO MANGUNKUSUMO KENCANA,JAKARTA PUSAT,IN",RSUP DR CIPTO MANGUNKUSUMO KENCANA,Indonesia
"RS RSIA PURI,MALANG,INEDONESIA",RSIA PURI MALANG,Indonesia
"RS PURI GALERI BERSALIN,MALANG,INDONESIA",RSB PURI GALERI,Indonesia
"RS MITRA KELUARGA KENJERAN , SURABAYA, Indonesia",MITRA KELUARGA KENJERAN,Indonesia
"RS APOTEK MALANG EYE CENTER,Malang,Indonesia",MALANG EYE CENTER,Indonesia
"RS APOTIK SMS,SEMARANG,INDONESIA",APOTEK SMS,Indonesia
"RS EKA HOSPITAL SERPONG TANGERANG , TANGERANG, Ind",EKA HOSPITAL SERPONG TANGERANG,Indonesia
"Laboratorium Klinik Pramita, Semarang,Indonesia",KLINIK UTAMA PRAMITA,Indonesia
"RS MEDISTRA JAKARTA SELATAN , JAKARTA SELATAN, Ind",RS MEDISTRA,Indonesia
"RS MALANG EYE CENTER,MALANG,INDONESIA",MALANG EYE CENTER,Indonesia
"RS ADI HUSADA KAPASARI SURABAYA , SURABAYA, Indone",RS ADI HUSADA KAPASARI,Indonesia
"RS APOTIK DELTA WALUYO,SIDOARJO,INDONESIA",APOTEK DELTA WALUYO,Indonesia
"RS GRHA KEDOYA JAKARTA BARAT , JAKARTA BARAT, Indo",RS GRHA KEDOYA,Indonesia
"RS SANTO VINCENTIUS A PAULO SURABAYA KATOLIK-RKZ ,",RS ST VINCENTIUS A PAULO,Indonesia
